TheOct, radec, 0:01:35.71, -77:03:56.9
30Psc, radec, 0:01:57.60, -6:00:51.1
2Cet, radec, 0:03:44.40, -17:20:10.0
3Cet, radec, 0:04:30.10, -10:30:33.8
33Psc, radec, 0:05:20.11, -5:42:27.0
AlpAnd, radec, 0:08:23.30, 29:05:26.2
BetCas, radec, 0:09:10.70, 59:08:58.9
EpsPhe, radec, 0:09:24.70, -45:44:51.0
6Cet, radec, 0:11:15.91, -15:28:05.2
GamPeg, radec, 0:13:14.21, 15:11:01.0
ChiPeg, radec, 0:14:36.19, 20:12:24.1
7Cet, radec, 0:14:38.40, -18:55:58.1
TheAnd, radec, 0:17:05.50, 38:40:54.1
SigAnd, radec, 0:18:19.70, 36:47:07.1
IotCet, radec, 0:19:25.70, -8:49:26.0
ZetTuc, radec, 0:20:04.30, -64:52:28.9
BetHyi, radec, 0:25:45.10, -77:15:15.1
KapPhe, radec, 0:26:12.19, -43:40:48.0
AlpPhe, radec, 0:26:16.99, -42:18:22.0
EtaScl, radec, 0:27:55.70, -33:00:25.9
Lam1Phe, radec, 0:31:25.01, -48:48:13.0
Bet1Tuc, radec, 0:31:32.71, -62:57:29.2
Bet2Tuc, radec, 0:31:33.60, -62:57:56.9
LamCas, radec, 0:31:46.39, 54:31:19.9
KapCas, radec, 0:33:00.00, 62:55:54.1
PiAnd, radec, 0:36:52.90, 33:43:09.8
ZetCas, radec, 0:36:58.30, 53:53:48.8
EpsAnd, radec, 0:38:33.31, 29:18:42.1
DelAnd, radec, 0:39:19.70, 30:51:38.9
AlpCas, radec, 0:40:30.50, 56:32:13.9
MuPhe, radec, 0:41:19.61, -46:05:06.0
XiCas, radec, 0:42:03.89, 50:30:45.0
EtaPhe, radec, 0:43:21.19, -57:27:47.2
PiCas, radec, 0:43:28.10, 47:01:28.9
BetCet, radec, 0:43:35.40, -17:59:12.1
Phi1Cet, radec, 0:44:11.40, -10:36:33.8
OmiCas, radec, 0:44:43.49, 48:17:03.8
ZetAnd, radec, 0:47:20.30, 24:16:01.9
DelPsc, radec, 0:48:40.99, 7:35:06.0
NuCas, radec, 0:48:50.09, 50:58:05.9
EtaCas, radec, 0:49:06.00, 57:48:56.9
NuAnd, radec, 0:49:48.79, 41:04:44.0
20Cet, radec, 0:53:00.50, -1:08:39.1
Ups1Cas, radec, 0:55:00.10, 58:58:22.1
Ups2Cas, radec, 0:56:39.79, 59:10:52.0
GamCas, radec, 0:56:42.50, 60:43:00.1
MuAnd, radec, 0:56:45.19, 38:29:57.8
EtaAnd, radec, 0:57:12.41, 23:25:03.0
AlpScl, radec, 0:58:36.41, -29:21:27.0
EpsPsc, radec, 1:02:56.59, 7:53:24.0
BetPhe, radec, 1:06:04.99, -46:43:07.0
ZetPhe, radec, 1:08:23.11, -55:14:44.9
EtaCet, radec, 1:08:35.40, -10:10:55.9
PhiAnd, radec, 1:09:30.19, 47:14:30.8
BetAnd, radec, 1:09:43.90, 35:37:14.2
TheCas, radec, 1:11:06.19, 55:08:58.9
ChiPsc, radec, 1:11:27.19, 21:02:04.9
TauPsc, radec, 1:11:39.60, 30:05:22.9
PhiPsc, radec, 1:13:44.90, 24:35:01.0
NuPhe, radec, 1:15:11.09, -45:31:53.0
KapTuc, radec, 1:15:46.10, -68:52:34.0
UpsPsc, radec, 1:19:28.01, 27:15:51.1
PhiCas, radec, 1:20:04.90, 58:13:54.1
XiAnd, radec, 1:22:20.40, 45:31:44.0
TheCet, radec, 1:24:01.39, -8:10:59.9
46Cet, radec, 1:25:37.20, -14:35:56.0
DelCas, radec, 1:25:49.01, 60:14:07.1
PsiCas, radec, 1:25:55.99, 68:07:48.0
OmeAnd, radec, 1:27:39.41, 45:24:24.1
GamPhe, radec, 1:28:21.89, -43:19:05.9
MuPsc, radec, 1:30:11.09, 6:08:38.0
DelPhe, radec, 1:31:15.10, -49:04:22.1
EtaPsc, radec, 1:31:28.99, 15:20:44.9
ChiCas, radec, 1:33:55.90, 59:13:54.8
UpsAnd, radec, 1:36:47.81, 41:24:20.2
AlpEri, radec, 1:37:42.89, -57:14:12.1
51And, radec, 1:37:59.59, 48:37:41.9
ChiAnd, radec, 1:39:21.00, 44:23:10.0
TauAnd, radec, 1:40:34.80, 40:34:36.8
NuPsc, radec, 1:41:25.90, 5:29:15.0
PhiPer, radec, 1:43:39.60, 50:41:19.0
TauCet, radec, 1:44:04.10, -15:56:15.0
OmiPsc, radec, 1:45:23.59, 9:09:28.1
ChiCet, radec, 1:49:35.09, -10:41:11.0
ZetCet, radec, 1:51:27.60, -10:20:06.0
AlpTri, radec, 1:53:04.90, 29:34:44.0
Gam1Ari, radec, 1:53:31.80, 19:17:44.9
Gam2Ari, radec, 1:53:31.80, 19:17:37.0
XiPsc, radec, 1:53:33.31, 3:11:15.0
PsiPhe, radec, 1:53:38.81, -46:18:09.0
EpsCas, radec, 1:54:23.69, 63:40:12.0
BetAri, radec, 1:54:38.40, 20:48:29.2
Eta2Hyi, radec, 1:54:56.09, -67:38:49.9
ChiEri, radec, 1:55:57.50, -51:36:32.0
OmeCas, radec, 1:56:00.00, 68:41:07.1
56Cet, radec, 1:56:40.20, -22:31:36.8
LamAri, radec, 1:57:55.70, 23:35:46.0
AlpHyi, radec, 1:58:46.20, -61:34:10.9
UpsCet, radec, 2:00:00.29, -21:04:40.1
48Cas, radec, 2:01:57.41, 70:54:24.8
AlpPsc, radec, 2:02:02.81, 2:45:49.0
50Cas, radec, 2:03:26.09, 72:25:17.0
